Wellenbrecher,2021,1
SolidAHRität,2021,2
Pflexit,2021,3
Impfpflicht,2021,4
Ampelparteien,2021,5
Lockdown-Kinder,2021,6
Booster,2021,7
freitesten,2021,8
Triell,2021,9
"fünf nach zwölf",2021,10
Corona-Pandemie,2020,1
Lockdown,2020,2
Verschwörungserzählung,2020,3
"Black Lives Matter",2020,4
AHA,2020,5
systemrelevant,2020,6
Triage,2020,7
Geisterspiele,2020,8
Gendersternchen,2020,9
"Bleiben Sie gesund!",2020,10
Respektrente,2019,1
Rollerchaos,2019,2
"Fridays for Future",2019,3
Schaulästige,2019,4
Donut-Effekt,2019,5
brexitmüde,2019,6
gegengoogeln,2019,7
Bienensterben,2019,8
Oligarchennichte,2019,9
Geordnete-Rückkehr-Gesetz,2019,10
Heißzeit,2018,1
Funklochrepublik,2018,2
Ankerzentren,2018,3
"Wir sind mehr",2018,4
strafbelobigt,2018,5
Pflegeroboter,2018,6
Diesel-Fahrverbot,2018,7
Handelskrieg,2018,8
Brexit-Chaos,2018,9
"die Mutter aller Probleme",2018,10
Jamaika-Aus,2017,1
"Ehe für alle",2017,2
#MeToo,2017,3
covfefe,2017,4
Echokammer,2017,5
Obergrenze,2017,6
Diesel-Gipfel,2017,7
Videobeweis,2017,8
"»Denkmal der Schande«",2017,9
hyggelig,2017,10
postfaktisch,2016,1
Brexit,2016,2
Silvesternacht,2016,3
Schmähkritik,2016,4
Trump-Effekt,2016,5
"Social Bots",2016,6
"schlechtes Blut",2016,7
Gruselclown,2016,8
Burkiniverbot,2016,9
"Oh, wie schön ist Panama",2016,10
Flüchtlinge,2015,1
"Je suis Charlie",2015,2
Grexit,2015,3
Selektorenliste,2015,4
Mogel-Motor,2015,5
durchwinken,2015,6
Selfie-Stab,2015,7
Schummel-WM,2015,8
Flexitarier,2015,9
"Wir schaffen das!",2015,10
Lichtgrenze,2014,1
"schwarze Null",2014,2
Götzseidank,2014,3
Russlandversteher,2014,4
bahnsinnig,2014,5
Willkommenskultur,2014,6
"Social Freezing",2014,7
Terror-Tourismus,2014,8
Freistoßspray,2014,9
"Generation Kopf unten",2014,10
GroKo,2013,1
Protz-Bischof,2013,2
Armutseinwanderung,2013,3
Zinsschmelze,2013,4
"Big Data",2013,5
Ausschließeritis,2013,6
"Generation Sandsack",2013,7
Ausländermaut,2013,8
"falsche Neun",2013,9
"Freund hört mit",2013,10
Rettungsroutine,2012,1
Kanzlerpräsidentin,2012,2
Bildungsabwendungsprämie,2012,3
Schlecker-Frauen,2012,4
wulffen,2012,5
Netzhetze,2012,6
Gottesteilchen,2012,7
Punk-Gebet,2012,8
Fluch-Hafen,2012,9
"ziemlich beste …",2012,10
Stresstest,2011,1
hebeln,2011,2
Arabellion,2011,3
Merkozy,2011,4
